"File","Change","Regression","Detail"
"pdf_a-1b\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.3 test 1 | ISO 19005-1:2005 clause 6.1.3 test 4"
"pdf_a-1b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 1"
"pdf_a-1b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t01-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 1"
"pdf_a-1b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 2"
"pdf_a-1b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t02-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 2"
"pdf_a-1b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t03-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 3"
"pdf_a-1b\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"pdf_a-2a\6.6 metadata\6.6.4 version and conformance level identification\verapdf test suite 6-6-4-t01-fail-a.pdf","RULES_CHANGED","False","removed: ISO 19005-1:2005 clause 6.1.4 test 3"
"pdf_a-2b\6.1 file structure\6.1.12 permissions\verapdf test suite 6-1-12-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.12 test 1"
"pdf_a-2b\6.1 file structure\6.1.12 permissions\verapdf test suite 6-1-12-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.12 test 2"
"pdf_a-2b\6.1 file structure\6.1.12 permissions\verapdf test suite 6-1-12-t02-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.12 test 2"
